id,count,population
00,0,
13500,9,71803
13400,14,187435
11500,56,720600
13200,22,229807
13100,7,180039
13000,12,388436
13700,3,138362
13600,18,236059
11300,62,1170817
11200,118,2504700
13900,2,82318
13800,4,139711
11900,9,249449
11800,1,72690
10100,0,62248
10800,5,85822
11600,4,114978
14600,29,478127
14700,8,179736
14400,14,304910
14500,8,320247
14200,43,564824
14300,4,66192
14000,18,444874
14100,8,200100
14800,16,283720
Zip Code - 3 digits00,0,
12000,9,330854
12100,7,280446
12200,12,151022
10900,41,537311
12400,7,154261
12500,11,448672
12600,8,86794
12700,6,99295
12800,8,225336
12900,5,164172
10000,61,1502501
14900,2,49642
10600,7,81120
10700,5,227049
10400,82,1382480
10500,28,646012
13300,4,142936
11400,31,728928
11700,71,1565949
12300,6,162643
OOS00,27,
11100,9,204715
10300,31,468730
11000,19,246333
