id,count,population
00,4,
13500,38,71803
13400,68,187435
11500,392,720600
13200,85,229807
13100,76,180039
13000,131,388436
13700,55,138362
13600,110,236059
11300,766,1170817
11200,1612,2504700
13900,48,82318
13800,56,139711
11900,151,249449
11800,21,72690
10100,12,62248
10800,40,85822
11600,60,114978
14600,227,478127
14700,107,179736
14400,114,304910
14500,126,320247
14200,118,564824
14300,30,66192
14000,127,444874
14100,49,200100
14800,114,283720
Zip Code - 3 digits00,0,
12000,133,330854
12100,109,280446
12200,109,151022
10900,430,537311
12400,47,154261
12500,153,448672
12600,42,86794
12700,47,99295
12800,50,225336
12900,55,164172
10000,386,1502501
14900,31,49642
10600,38,81120
10700,234,227049
10400,736,1382480
10500,171,646012
13300,62,142936
11400,413,728928
11700,655,1565949
12300,107,162643
OOS00,118,
11100,58,204715
10300,319,468730
11000,97,246333
