id,count,population
00,0,
13500,4,71803
13400,14,187435
11500,17,720600
13200,16,229807
13100,8,180039
13000,14,388436
13700,3,138362
13600,13,236059
11300,42,1170817
11200,128,2504700
13900,3,82318
13800,8,139711
11900,12,249449
11800,2,72690
10100,3,62248
10800,3,85822
11600,6,114978
14600,14,478127
14700,1,179736
14400,13,304910
14500,11,320247
14200,21,564824
14300,2,66192
14000,19,444874
14100,6,200100
14800,13,283720
Zip Code - 3 digits00,0,
12000,13,330854
12100,8,280446
12200,7,151022
10900,9,537311
12400,7,154261
12500,7,448672
12600,1,86794
12700,5,99295
12800,9,225336
12900,10,164172
10000,101,1502501
14900,4,49642
10600,5,81120
10700,4,227049
10400,79,1382480
10500,11,646012
13300,5,142936
11400,22,728928
11700,57,1565949
12300,8,162643
OOS00,17,
11100,7,204715
10300,18,468730
11000,2,246333
