id,count,population
00,54,
13500,53,71803
13400,191,187435
11500,1235,720600
13200,427,229807
13100,210,180039
13000,567,388436
13700,160,138362
13600,281,236059
11300,1883,1170817
11200,5338,2504700
13900,87,82318
13800,205,139711
11900,541,249449
11800,124,72690
10100,89,62248
10800,95,85822
11600,160,114978
14600,903,478127
14700,260,179736
14400,431,304910
14500,494,320247
14200,418,564824
14300,50,66192
14000,423,444874
14100,177,200100
14800,338,283720
Zip Code - 3 digits00,0,
12000,619,330854
12100,451,280446
12200,324,151022
10900,1175,537311
12400,214,154261
12500,490,448672
12600,82,86794
12700,215,99295
12800,156,225336
12900,252,164172
10000,2063,1502501
14900,67,49642
10600,107,81120
10700,345,227049
10400,2291,1382480
10500,601,646012
13300,143,142936
11400,1435,728928
11700,2575,1565949
12300,628,162643
OOS00,507,
11100,256,204715
10300,857,468730
11000,344,246333
