id,count,population
00,3,
13500,5,71803
13400,17,187435
11500,142,720600
13200,27,229807
13100,23,180039
13000,27,388436
13700,14,138362
13600,16,236059
11300,117,1170817
11200,325,2504700
13900,6,82318
13800,13,139711
11900,97,249449
11800,8,72690
10100,3,62248
10800,15,85822
11600,26,114978
14600,64,478127
14700,8,179736
14400,35,304910
14500,26,320247
14200,51,564824
14300,7,66192
14000,44,444874
14100,16,200100
14800,19,283720
Zip Code - 3 digits00,0,
12000,34,330854
12100,30,280446
12200,17,151022
10900,52,537311
12400,18,154261
12500,58,448672
12600,8,86794
12700,15,99295
12800,35,225336
12900,15,164172
10000,198,1502501
14900,7,49642
10600,5,81120
10700,40,227049
10400,339,1382480
10500,69,646012
13300,9,142936
11400,147,728928
11700,290,1565949
12300,12,162643
OOS00,75,
11100,20,204715
10300,106,468730
11000,39,246333
