id,count,population
00,0,
13500,9,71803
13400,13,187435
11500,116,720600
13200,28,229807
13100,7,180039
13000,19,388436
13700,15,138362
13600,6,236059
11300,189,1170817
11200,448,2504700
13900,8,82318
13800,6,139711
11900,39,249449
11800,7,72690
10100,5,62248
10800,12,85822
11600,34,114978
14600,73,478127
14700,9,179736
14400,26,304910
14500,19,320247
14200,59,564824
14300,7,66192
14000,37,444874
14100,16,200100
14800,17,283720
Zip Code - 3 digits00,0,
12000,23,330854
12100,18,280446
12200,23,151022
10900,35,537311
12400,18,154261
12500,33,448672
12600,7,86794
12700,4,99295
12800,24,225336
12900,4,164172
10000,266,1502501
14900,7,49642
10600,4,81120
10700,38,227049
10400,426,1382480
10500,60,646012
13300,7,142936
11400,171,728928
11700,246,1565949
12300,15,162643
OOS00,69,
11100,37,204715
10300,102,468730
11000,37,246333
