id,count,population
00,35,
13500,245,71803
13400,809,187435
11500,1817,720600
13200,658,229807
13100,679,180039
13000,1396,388436
13700,627,138362
13600,591,236059
11300,1907,1170817
11200,3188,2504700
13900,328,82318
13800,513,139711
11900,936,249449
11800,212,72690
10100,166,62248
10800,232,85822
11600,172,114978
14600,1592,478127
14700,574,179736
14400,1219,304910
14500,1395,320247
14200,1964,564824
14300,204,66192
14000,1929,444874
14100,903,200100
14800,811,283720
Zip Code - 3 digits00,0,
12000,1260,330854
12100,1112,280446
12200,427,151022
10900,1380,537311
12400,621,154261
12500,1581,448672
12600,279,86794
12700,298,99295
12800,877,225336
12900,474,164172
10000,2875,1502501
14900,174,49642
10600,209,81120
10700,596,227049
10400,2026,1382480
10500,1957,646012
13300,570,142936
11400,1089,728928
11700,4561,1565949
12300,508,162643
OOS00,3865,
11100,336,204715
10300,1080,468730
11000,673,246333
