id,count,population
00,0,
13500,14,71803
13400,30,187435
11500,108,720600
13200,25,229807
13100,27,180039
13000,47,388436
13700,30,138362
13600,34,236059
11300,141,1170817
11200,297,2504700
13900,6,82318
13800,18,139711
11900,38,249449
11800,18,72690
10100,6,62248
10800,8,85822
11600,23,114978
14600,94,478127
14700,39,179736
14400,55,304910
14500,52,320247
14200,94,564824
14300,19,66192
14000,82,444874
14100,50,200100
14800,38,283720
Zip Code - 3 digits00,0,
12000,29,330854
12100,23,280446
12200,14,151022
10900,48,537311
12400,26,154261
12500,65,448672
12600,11,86794
12700,22,99295
12800,24,225336
12900,35,164172
10000,173,1502501
14900,7,49642
10600,5,81120
10700,34,227049
10400,198,1382480
10500,81,646012
13300,15,142936
11400,85,728928
11700,237,1565949
12300,12,162643
OOS00,77,
11100,22,204715
10300,49,468730
11000,26,246333
