id,count,population
00,69,
13500,179,71803
13400,276,187435
11500,1277,720600
13200,460,229807
13100,223,180039
13000,520,388436
13700,192,138362
13600,465,236059
11300,2462,1170817
11200,8224,2504700
13900,113,82318
13800,181,139711
11900,386,249449
11800,110,72690
10100,157,62248
10800,136,85822
11600,278,114978
14600,910,478127
14700,252,179736
14400,361,304910
14500,384,320247
14200,1292,564824
14300,138,66192
14000,628,444874
14100,310,200100
14800,310,283720
Zip Code - 3 digits00,0,
12000,395,330854
12100,381,280446
12200,216,151022
10900,1123,537311
12400,245,154261
12500,628,448672
12600,152,86794
12700,198,99295
12800,315,225336
12900,246,164172
10000,3540,1502501
14900,92,49642
10600,180,81120
10700,487,227049
10400,3721,1382480
10500,893,646012
13300,224,142936
11400,1788,728928
11700,2677,1565949
12300,238,162643
OOS00,784,
11100,457,204715
10300,706,468730
11000,387,246333
