id,count,population
00,1,
13500,11,71803
13400,22,187435
11500,84,720600
13200,22,229807
13100,22,180039
13000,41,388436
13700,24,138362
13600,24,236059
11300,148,1170817
11200,339,2504700
13900,11,82318
13800,16,139711
11900,46,249449
11800,10,72690
10100,8,62248
10800,11,85822
11600,9,114978
14600,56,478127
14700,23,179736
14400,33,304910
14500,51,320247
14200,70,564824
14300,8,66192
14000,73,444874
14100,43,200100
14800,31,283720
Zip Code - 3 digits00,0,
12000,46,330854
12100,33,280446
12200,21,151022
10900,97,537311
12400,13,154261
12500,70,448672
12600,4,86794
12700,7,99295
12800,18,225336
12900,6,164172
10000,169,1502501
14900,12,49642
10600,9,81120
10700,38,227049
10400,229,1382480
10500,89,646012
13300,18,142936
11400,80,728928
11700,240,1565949
12300,17,162643
OOS00,254,
11100,20,204715
10300,91,468730
11000,31,246333
