id,count,population
00,8,
13500,35,71803
13400,105,187435
11500,378,720600
13200,106,229807
13100,66,180039
13000,176,388436
13700,65,138362
13600,112,236059
11300,514,1170817
11200,1314,2504700
13900,33,82318
13800,59,139711
11900,126,249449
11800,44,72690
10100,25,62248
10800,38,85822
11600,81,114978
14600,284,478127
14700,47,179736
14400,125,304910
14500,124,320247
14200,295,564824
14300,40,66192
14000,163,444874
14100,84,200100
14800,101,283720
Zip Code - 3 digits00,0,
12000,183,330854
12100,157,280446
12200,117,151022
10900,228,537311
12400,89,154261
12500,194,448672
12600,33,86794
12700,49,99295
12800,123,225336
12900,38,164172
10000,817,1502501
14900,24,49642
10600,50,81120
10700,106,227049
10400,1082,1382480
10500,273,646012
13300,80,142936
11400,343,728928
11700,754,1565949
12300,66,162643
OOS00,285,
11100,67,204715
10300,307,468730
11000,127,246333
