id,count,population
00,1,
13500,11,71803
13400,18,187435
11500,124,720600
13200,32,229807
13100,22,180039
13000,57,388436
13700,17,138362
13600,29,236059
11300,157,1170817
11200,360,2504700
13900,15,82318
13800,30,139711
11900,58,249449
11800,15,72690
10100,7,62248
10800,11,85822
11600,29,114978
14600,71,478127
14700,28,179736
14400,34,304910
14500,45,320247
14200,100,564824
14300,15,66192
14000,75,444874
14100,33,200100
14800,26,283720
Zip Code - 3 digits00,0,
12000,35,330854
12100,25,280446
12200,17,151022
10900,67,537311
12400,25,154261
12500,57,448672
12600,16,86794
12700,10,99295
12800,33,225336
12900,12,164172
10000,316,1502501
14900,6,49642
10600,19,81120
10700,42,227049
10400,216,1382480
10500,118,646012
13300,9,142936
11400,87,728928
11700,231,1565949
12300,26,162643
OOS00,204,
11100,17,204715
10300,80,468730
11000,43,246333
