id,count,population
00,0,
13500,3,71803
13400,4,187435
11500,28,720600
13200,6,229807
13100,4,180039
13000,6,388436
13700,3,138362
13600,6,236059
11300,48,1170817
11200,178,2504700
13900,3,82318
13800,5,139711
11900,10,249449
11800,1,72690
10100,2,62248
10800,5,85822
11600,4,114978
14600,27,478127
14700,8,179736
14400,11,304910
14500,13,320247
14200,19,564824
14300,3,66192
14000,13,444874
14100,4,200100
14800,4,283720
Zip Code - 3 digits00,0,
12000,6,330854
12100,6,280446
12200,7,151022
10900,9,537311
12400,8,154261
12500,13,448672
12600,5,86794
12700,2,99295
12800,2,225336
12900,2,164172
10000,83,1502501
14900,3,49642
10600,0,81120
10700,18,227049
10400,144,1382480
10500,19,646012
13300,5,142936
11400,42,728928
11700,54,1565949
12300,3,162643
OOS00,56,
11100,12,204715
10300,26,468730
11000,11,246333
