id,count,population
00,5,
13500,63,71803
13400,101,187435
11500,262,720600
13200,157,229807
13100,67,180039
13000,138,388436
13700,54,138362
13600,119,236059
11300,338,1170817
11200,1307,2504700
13900,43,82318
13800,44,139711
11900,134,249449
11800,19,72690
10100,19,62248
10800,25,85822
11600,44,114978
14600,333,478127
14700,57,179736
14400,108,304910
14500,113,320247
14200,273,564824
14300,54,66192
14000,166,444874
14100,63,200100
14800,113,283720
Zip Code - 3 digits00,0,
12000,98,330854
12100,92,280446
12200,68,151022
10900,160,537311
12400,51,154261
12500,135,448672
12600,45,86794
12700,50,99295
12800,104,225336
12900,75,164172
10000,1161,1502501
14900,44,49642
10600,27,81120
10700,115,227049
10400,1548,1382480
10500,175,646012
13300,60,142936
11400,311,728928
11700,661,1565949
12300,52,162643
OOS00,185,
11100,71,204715
10300,227,468730
11000,84,246333
