id,count,population
00,0,
13500,15,71803
13400,17,187435
11500,34,720600
13200,12,229807
13100,5,180039
13000,14,388436
13700,7,138362
13600,3,236059
11300,48,1170817
11200,119,2504700
13900,2,82318
13800,4,139711
11900,17,249449
11800,2,72690
10100,1,62248
10800,5,85822
11600,9,114978
14600,50,478127
14700,4,179736
14400,14,304910
14500,21,320247
14200,13,564824
14300,3,66192
14000,18,444874
14100,8,200100
14800,13,283720
Zip Code - 3 digits00,0,
12000,18,330854
12100,7,280446
12200,2,151022
10900,32,537311
12400,5,154261
12500,14,448672
12600,4,86794
12700,2,99295
12800,3,225336
12900,1,164172
10000,66,1502501
14900,1,49642
10600,0,81120
10700,8,227049
10400,83,1382480
10500,22,646012
13300,10,142936
11400,29,728928
11700,74,1565949
12300,7,162643
OOS00,95,
11100,13,204715
10300,23,468730
11000,11,246333
