id,count,population
00,1,
13500,0,71803
13400,3,187435
11500,23,720600
13200,7,229807
13100,4,180039
13000,7,388436
13700,5,138362
13600,8,236059
11300,24,1170817
11200,90,2504700
13900,3,82318
13800,1,139711
11900,8,249449
11800,2,72690
10100,1,62248
10800,2,85822
11600,5,114978
14600,6,478127
14700,4,179736
14400,6,304910
14500,3,320247
14200,10,564824
14300,1,66192
14000,8,444874
14100,3,200100
14800,7,283720
Zip Code - 3 digits00,0,
12000,5,330854
12100,14,280446
12200,3,151022
10900,22,537311
12400,5,154261
12500,15,448672
12600,2,86794
12700,1,99295
12800,3,225336
12900,2,164172
10000,32,1502501
14900,1,49642
10600,4,81120
10700,9,227049
10400,71,1382480
10500,17,646012
13300,6,142936
11400,22,728928
11700,43,1565949
12300,4,162643
OOS00,16,
11100,6,204715
10300,18,468730
11000,4,246333
