id,count,population
00,7,
13500,30,71803
13400,97,187435
11500,423,720600
13200,112,229807
13100,65,180039
13000,147,388436
13700,60,138362
13600,72,236059
11300,615,1170817
11200,1272,2504700
13900,30,82318
13800,35,139711
11900,161,249449
11800,51,72690
10100,28,62248
10800,45,85822
11600,60,114978
14600,210,478127
14700,75,179736
14400,127,304910
14500,151,320247
14200,336,564824
14300,24,66192
14000,257,444874
14100,131,200100
14800,76,283720
Zip Code - 3 digits00,0,
12000,133,330854
12100,117,280446
12200,51,151022
10900,263,537311
12400,55,154261
12500,175,448672
12600,44,86794
12700,22,99295
12800,73,225336
12900,32,164172
10000,688,1502501
14900,17,49642
10600,40,81120
10700,133,227049
10400,656,1382480
10500,305,646012
13300,57,142936
11400,397,728928
11700,877,1565949
12300,77,162643
OOS00,877,
11100,97,204715
10300,260,468730
11000,120,246333
