id,count,population
00,1,
13500,4,71803
13400,12,187435
11500,51,720600
13200,33,229807
13100,20,180039
13000,42,388436
13700,8,138362
13600,18,236059
11300,53,1170817
11200,172,2504700
13900,8,82318
13800,16,139711
11900,29,249449
11800,6,72690
10100,3,62248
10800,5,85822
11600,6,114978
14600,24,478127
14700,13,179736
14400,16,304910
14500,22,320247
14200,45,564824
14300,3,66192
14000,27,444874
14100,18,200100
14800,7,283720
Zip Code - 3 digits00,0,
12000,20,330854
12100,20,280446
12200,5,151022
10900,32,537311
12400,10,154261
12500,25,448672
12600,7,86794
12700,8,99295
12800,18,225336
12900,5,164172
10000,88,1502501
14900,1,49642
10600,5,81120
10700,19,227049
10400,99,1382480
10500,40,646012
13300,12,142936
11400,39,728928
11700,114,1565949
12300,3,162643
OOS00,56,
11100,6,204715
10300,42,468730
11000,14,246333
