id,count,population
00,4,
13500,12,71803
13400,38,187435
11500,190,720600
13200,50,229807
13100,28,180039
13000,73,388436
13700,40,138362
13600,44,236059
11300,277,1170817
11200,865,2504700
13900,20,82318
13800,32,139711
11900,95,249449
11800,16,72690
10100,13,62248
10800,23,85822
11600,69,114978
14600,112,478127
14700,18,179736
14400,67,304910
14500,73,320247
14200,141,564824
14300,21,66192
14000,117,444874
14100,50,200100
14800,65,283720
Zip Code - 3 digits00,0,
12000,71,330854
12100,49,280446
12200,29,151022
10900,134,537311
12400,45,154261
12500,81,448672
12600,18,86794
12700,13,99295
12800,38,225336
12900,23,164172
10000,457,1502501
14900,18,49642
10600,15,81120
10700,59,227049
10400,623,1382480
10500,160,646012
13300,31,142936
11400,214,728928
11700,434,1565949
12300,26,162643
OOS00,405,
11100,54,204715
10300,231,468730
11000,63,246333
