id,count,population
00,2,
13500,11,71803
13400,28,187435
11500,65,720600
13200,21,229807
13100,17,180039
13000,47,388436
13700,19,138362
13600,8,236059
11300,75,1170817
11200,153,2504700
13900,10,82318
13800,13,139711
11900,41,249449
11800,12,72690
10100,7,62248
10800,2,85822
11600,16,114978
14600,42,478127
14700,34,179736
14400,25,304910
14500,27,320247
14200,118,564824
14300,17,66192
14000,68,444874
14100,38,200100
14800,30,283720
Zip Code - 3 digits00,0,
12000,24,330854
12100,23,280446
12200,11,151022
10900,44,537311
12400,18,154261
12500,53,448672
12600,4,86794
12700,8,99295
12800,11,225336
12900,4,164172
10000,134,1502501
14900,9,49642
10600,9,81120
10700,23,227049
10400,148,1382480
10500,62,646012
13300,14,142936
11400,53,728928
11700,186,1565949
12300,14,162643
OOS00,157,
11100,9,204715
10300,50,468730
11000,19,246333
