id,count,population
00,0,
13500,2,71803
13400,2,187435
11500,35,720600
13200,5,229807
13100,6,180039
13000,7,388436
13700,4,138362
13600,4,236059
11300,33,1170817
11200,113,2504700
13900,1,82318
13800,3,139711
11900,10,249449
11800,5,72690
10100,0,62248
10800,6,85822
11600,8,114978
14600,13,478127
14700,2,179736
14400,3,304910
14500,6,320247
14200,10,564824
14300,3,66192
14000,7,444874
14100,2,200100
14800,5,283720
Zip Code - 3 digits00,0,
12000,8,330854
12100,9,280446
12200,6,151022
10900,15,537311
12400,2,154261
12500,20,448672
12600,2,86794
12700,2,99295
12800,7,225336
12900,5,164172
10000,63,1502501
14900,2,49642
10600,2,81120
10700,7,227049
10400,82,1382480
10500,22,646012
13300,0,142936
11400,23,728928
11700,63,1565949
12300,3,162643
OOS00,23,
11100,6,204715
10300,27,468730
11000,7,246333
