id,count,population
00,0,
13500,4,71803
13400,3,187435
11500,29,720600
13200,11,229807
13100,2,180039
13000,10,388436
13700,2,138362
13600,6,236059
11300,52,1170817
11200,100,2504700
13900,0,82318
13800,2,139711
11900,8,249449
11800,1,72690
10100,2,62248
10800,2,85822
11600,1,114978
14600,18,478127
14700,1,179736
14400,7,304910
14500,9,320247
14200,16,564824
14300,2,66192
14000,7,444874
14100,1,200100
14800,7,283720
Zip Code - 3 digits00,0,
12000,7,330854
12100,5,280446
12200,6,151022
10900,16,537311
12400,10,154261
12500,17,448672
12600,2,86794
12700,0,99295
12800,4,225336
12900,1,164172
10000,59,1502501
14900,1,49642
10600,0,81120
10700,7,227049
10400,119,1382480
10500,16,646012
13300,2,142936
11400,34,728928
11700,44,1565949
12300,7,162643
OOS00,29,
11100,9,204715
10300,17,468730
11000,8,246333
