id,count,population
00,8,
13500,53,71803
13400,150,187435
11500,540,720600
13200,159,229807
13100,126,180039
13000,280,388436
13700,121,138362
13600,127,236059
11300,608,1170817
11200,940,2504700
13900,65,82318
13800,111,139711
11900,282,249449
11800,47,72690
10100,32,62248
10800,52,85822
11600,51,114978
14600,233,478127
14700,96,179736
14400,197,304910
14500,247,320247
14200,365,564824
14300,44,66192
14000,285,444874
14100,131,200100
14800,169,283720
Zip Code - 3 digits00,0,
12000,200,330854
12100,185,280446
12200,99,151022
10900,325,537311
12400,180,154261
12500,232,448672
12600,47,86794
12700,44,99295
12800,171,225336
12900,63,164172
10000,742,1502501
14900,38,49642
10600,54,81120
10700,169,227049
10400,574,1382480
10500,436,646012
13300,125,142936
11400,296,728928
11700,1306,1565949
12300,80,162643
OOS00,356,
11100,83,204715
10300,299,468730
11000,211,246333
