id,count,population
00,5,
13500,67,71803
13400,162,187435
11500,591,720600
13200,202,229807
13100,131,180039
13000,303,388436
13700,84,138362
13600,164,236059
11300,725,1170817
11200,1841,2504700
13900,48,82318
13800,80,139711
11900,200,249449
11800,39,72690
10100,25,62248
10800,68,85822
11600,161,114978
14600,388,478127
14700,118,179736
14400,214,304910
14500,212,320247
14200,416,564824
14300,67,66192
14000,325,444874
14100,131,200100
14800,140,283720
Zip Code - 3 digits00,0,
12000,211,330854
12100,192,280446
12200,119,151022
10900,291,537311
12400,146,154261
12500,269,448672
12600,46,86794
12700,49,99295
12800,168,225336
12900,142,164172
10000,1069,1502501
14900,31,49642
10600,74,81120
10700,189,227049
10400,1247,1382480
10500,409,646012
13300,87,142936
11400,501,728928
11700,1128,1565949
12300,101,162643
OOS00,452,
11100,104,204715
10300,396,468730
11000,205,246333
