id,count,population
00,0,
13500,12,71803
13400,33,187435
11500,172,720600
13200,31,229807
13100,18,180039
13000,54,388436
13700,15,138362
13600,26,236059
11300,207,1170817
11200,387,2504700
13900,5,82318
13800,19,139711
11900,42,249449
11800,13,72690
10100,8,62248
10800,21,85822
11600,34,114978
14600,70,478127
14700,14,179736
14400,43,304910
14500,33,320247
14200,68,564824
14300,7,66192
14000,68,444874
14100,26,200100
14800,32,283720
Zip Code - 3 digits00,0,
12000,41,330854
12100,24,280446
12200,13,151022
10900,55,537311
12400,31,154261
12500,53,448672
12600,6,86794
12700,9,99295
12800,10,225336
12900,24,164172
10000,197,1502501
14900,5,49642
10600,12,81120
10700,45,227049
10400,232,1382480
10500,74,646012
13300,18,142936
11400,122,728928
11700,270,1565949
12300,19,162643
OOS00,92,
11100,34,204715
10300,69,468730
11000,44,246333
