id,count,population
00,0,
13500,1,71803
13400,11,187435
11500,30,720600
13200,8,229807
13100,15,180039
13000,15,388436
13700,4,138362
13600,7,236059
11300,15,1170817
11200,35,2504700
13900,2,82318
13800,4,139711
11900,7,249449
11800,0,72690
10100,2,62248
10800,1,85822
11600,5,114978
14600,18,478127
14700,1,179736
14400,14,304910
14500,11,320247
14200,12,564824
14300,0,66192
14000,14,444874
14100,6,200100
14800,4,283720
Zip Code - 3 digits00,0,
12000,10,330854
12100,4,280446
12200,6,151022
10900,14,537311
12400,2,154261
12500,5,448672
12600,1,86794
12700,3,99295
12800,5,225336
12900,2,164172
10000,46,1502501
14900,1,49642
10600,1,81120
10700,5,227049
10400,34,1382480
10500,12,646012
13300,3,142936
11400,15,728928
11700,43,1565949
12300,2,162643
OOS00,29,
11100,2,204715
10300,11,468730
11000,10,246333
