id,count,population
00,1,
13500,5,71803
13400,9,187435
11500,70,720600
13200,17,229807
13100,13,180039
13000,21,388436
13700,5,138362
13600,9,236059
11300,57,1170817
11200,216,2504700
13900,4,82318
13800,3,139711
11900,72,249449
11800,3,72690
10100,6,62248
10800,7,85822
11600,10,114978
14600,18,478127
14700,3,179736
14400,3,304910
14500,9,320247
14200,14,564824
14300,1,66192
14000,8,444874
14100,5,200100
14800,10,283720
Zip Code - 3 digits00,0,
12000,29,330854
12100,39,280446
12200,8,151022
10900,69,537311
12400,35,154261
12500,100,448672
12600,17,86794
12700,4,99295
12800,16,225336
12900,6,164172
10000,134,1502501
14900,0,49642
10600,11,81120
10700,29,227049
10400,216,1382480
10500,77,646012
13300,5,142936
11400,77,728928
11700,117,1565949
12300,8,162643
OOS00,56,
11100,11,204715
10300,27,468730
11000,15,246333
