id,count,population
00,5,
13500,27,71803
13400,60,187435
11500,260,720600
13200,78,229807
13100,28,180039
13000,68,388436
13700,23,138362
13600,54,236059
11300,339,1170817
11200,1076,2504700
13900,27,82318
13800,26,139711
11900,116,249449
11800,31,72690
10100,21,62248
10800,35,85822
11600,56,114978
14600,188,478127
14700,44,179736
14400,60,304910
14500,94,320247
14200,238,564824
14300,25,66192
14000,127,444874
14100,59,200100
14800,56,283720
Zip Code - 3 digits00,0,
12000,67,330854
12100,63,280446
12200,67,151022
10900,110,537311
12400,52,154261
12500,95,448672
12600,21,86794
12700,17,99295
12800,54,225336
12900,47,164172
10000,526,1502501
14900,23,49642
10600,31,81120
10700,156,227049
10400,955,1382480
10500,210,646012
13300,27,142936
11400,335,728928
11700,557,1565949
12300,35,162643
OOS00,186,
11100,53,204715
10300,340,468730
11000,85,246333
