id,count,population
00,3,
13500,15,71803
13400,27,187435
11500,104,720600
13200,31,229807
13100,19,180039
13000,45,388436
13700,30,138362
13600,39,236059
11300,177,1170817
11200,340,2504700
13900,10,82318
13800,24,139711
11900,49,249449
11800,19,72690
10100,5,62248
10800,17,85822
11600,19,114978
14600,74,478127
14700,24,179736
14400,47,304910
14500,48,320247
14200,141,564824
14300,17,66192
14000,92,444874
14100,46,200100
14800,38,283720
Zip Code - 3 digits00,0,
12000,46,330854
12100,54,280446
12200,34,151022
10900,50,537311
12400,41,154261
12500,81,448672
12600,17,86794
12700,14,99295
12800,38,225336
12900,26,164172
10000,255,1502501
14900,10,49642
10600,22,81120
10700,42,227049
10400,320,1382480
10500,82,646012
13300,23,142936
11400,105,728928
11700,219,1565949
12300,25,162643
OOS00,93,
11100,21,204715
10300,92,468730
11000,44,246333
