id,count,population
00,1,
13500,33,71803
13400,41,187435
11500,102,720600
13200,34,229807
13100,33,180039
13000,76,388436
13700,14,138362
13600,31,236059
11300,164,1170817
11200,304,2504700
13900,12,82318
13800,22,139711
11900,37,249449
11800,13,72690
10100,4,62248
10800,5,85822
11600,26,114978
14600,103,478127
14700,27,179736
14400,68,304910
14500,62,320247
14200,82,564824
14300,12,66192
14000,75,444874
14100,32,200100
14800,25,283720
Zip Code - 3 digits00,0,
12000,29,330854
12100,54,280446
12200,17,151022
10900,55,537311
12400,23,154261
12500,49,448672
12600,10,86794
12700,13,99295
12800,30,225336
12900,11,164172
10000,169,1502501
14900,6,49642
10600,7,81120
10700,30,227049
10400,195,1382480
10500,86,646012
13300,32,142936
11400,96,728928
11700,268,1565949
12300,15,162643
OOS00,125,
11100,27,204715
10300,40,468730
11000,40,246333
