id,count,population
00,4,
13500,39,71803
13400,83,187435
11500,250,720600
13200,102,229807
13100,79,180039
13000,135,388436
13700,69,138362
13600,98,236059
11300,445,1170817
11200,1006,2504700
13900,30,82318
13800,71,139711
11900,120,249449
11800,25,72690
10100,19,62248
10800,28,85822
11600,63,114978
14600,202,478127
14700,67,179736
14400,85,304910
14500,95,320247
14200,228,564824
14300,37,66192
14000,139,444874
14100,75,200100
14800,91,283720
Zip Code - 3 digits00,0,
12000,125,330854
12100,72,280446
12200,54,151022
10900,166,537311
12400,52,154261
12500,150,448672
12600,42,86794
12700,37,99295
12800,81,225336
12900,81,164172
10000,522,1502501
14900,22,49642
10600,21,81120
10700,118,227049
10400,774,1382480
10500,154,646012
13300,71,142936
11400,261,728928
11700,595,1565949
12300,84,162643
OOS00,239,
11100,58,204715
10300,193,468730
11000,69,246333
