id,count,population
00,1,
13500,12,71803
13400,40,187435
11500,125,720600
13200,16,229807
13100,22,180039
13000,54,388436
13700,23,138362
13600,25,236059
11300,179,1170817
11200,384,2504700
13900,11,82318
13800,20,139711
11900,48,249449
11800,11,72690
10100,19,62248
10800,13,85822
11600,19,114978
14600,55,478127
14700,25,179736
14400,44,304910
14500,47,320247
14200,95,564824
14300,15,66192
14000,79,444874
14100,27,200100
14800,42,283720
Zip Code - 3 digits00,0,
12000,51,330854
12100,45,280446
12200,27,151022
10900,77,537311
12400,25,154261
12500,65,448672
12600,10,86794
12700,12,99295
12800,34,225336
12900,23,164172
10000,211,1502501
14900,4,49642
10600,14,81120
10700,77,227049
10400,223,1382480
10500,98,646012
13300,19,142936
11400,129,728928
11700,269,1565949
12300,40,162643
OOS00,151,
11100,47,204715
10300,65,468730
11000,42,246333
