id,count,population
00,10,
13500,88,71803
13400,197,187435
11500,682,720600
13200,272,229807
13100,147,180039
13000,338,388436
13700,100,138362
13600,215,236059
11300,914,1170817
11200,1958,2504700
13900,65,82318
13800,102,139711
11900,339,249449
11800,63,72690
10100,46,62248
10800,95,85822
11600,141,114978
14600,590,478127
14700,111,179736
14400,294,304910
14500,299,320247
14200,382,564824
14300,65,66192
14000,265,444874
14100,141,200100
14800,184,283720
Zip Code - 3 digits00,0,
12000,284,330854
12100,272,280446
12200,138,151022
10900,464,537311
12400,176,154261
12500,445,448672
12600,81,86794
12700,96,99295
12800,218,225336
12900,73,164172
10000,1373,1502501
14900,38,49642
10600,81,81120
10700,265,227049
10400,1627,1382480
10500,591,646012
13300,149,142936
11400,627,728928
11700,1367,1565949
12300,152,162643
OOS00,877,
11100,131,204715
10300,536,468730
11000,210,246333
