id,count,population
00,5,
13500,24,71803
13400,33,187435
11500,78,720600
13200,26,229807
13100,31,180039
13000,59,388436
13700,27,138362
13600,55,236059
11300,162,1170817
11200,465,2504700
13900,14,82318
13800,32,139711
11900,59,249449
11800,4,72690
10100,5,62248
10800,6,85822
11600,20,114978
14600,75,478127
14700,34,179736
14400,39,304910
14500,39,320247
14200,130,564824
14300,26,66192
14000,89,444874
14100,39,200100
14800,48,283720
Zip Code - 3 digits00,0,
12000,44,330854
12100,34,280446
12200,19,151022
10900,83,537311
12400,38,154261
12500,56,448672
12600,23,86794
12700,20,99295
12800,30,225336
12900,11,164172
10000,199,1502501
14900,6,49642
10600,17,81120
10700,36,227049
10400,306,1382480
10500,73,646012
13300,18,142936
11400,128,728928
11700,187,1565949
12300,18,162643
OOS00,49,
11100,32,204715
10300,34,468730
11000,22,246333
