id,count,population
00,1,
13500,1,71803
13400,8,187435
11500,32,720600
13200,5,229807
13100,5,180039
13000,4,388436
13700,9,138362
13600,5,236059
11300,25,1170817
11200,69,2504700
13900,3,82318
13800,5,139711
11900,6,249449
11800,5,72690
10100,4,62248
10800,2,85822
11600,2,114978
14600,9,478127
14700,3,179736
14400,6,304910
14500,7,320247
14200,11,564824
14300,2,66192
14000,17,444874
14100,7,200100
14800,4,283720
Zip Code - 3 digits00,0,
12000,4,330854
12100,7,280446
12200,3,151022
10900,15,537311
12400,3,154261
12500,16,448672
12600,2,86794
12700,5,99295
12800,8,225336
12900,1,164172
10000,43,1502501
14900,2,49642
10600,5,81120
10700,12,227049
10400,41,1382480
10500,23,646012
13300,4,142936
11400,18,728928
11700,40,1565949
12300,7,162643
OOS00,145,
11100,7,204715
10300,15,468730
11000,7,246333
