id,count,population
00,0,
13500,5,71803
13400,3,187435
11500,19,720600
13200,8,229807
13100,1,180039
13000,3,388436
13700,0,138362
13600,2,236059
11300,13,1170817
11200,83,2504700
13900,0,82318
13800,1,139711
11900,10,249449
11800,0,72690
10100,0,62248
10800,1,85822
11600,0,114978
14600,19,478127
14700,1,179736
14400,1,304910
14500,2,320247
14200,9,564824
14300,1,66192
14000,1,444874
14100,5,200100
14800,1,283720
Zip Code - 3 digits00,0,
12000,3,330854
12100,0,280446
12200,0,151022
10900,4,537311
12400,0,154261
12500,1,448672
12600,1,86794
12700,2,99295
12800,1,225336
12900,0,164172
10000,58,1502501
14900,1,49642
10600,1,81120
10700,4,227049
10400,58,1382480
10500,9,646012
13300,3,142936
11400,12,728928
11700,56,1565949
12300,0,162643
OOS00,14,
11100,1,204715
10300,92,468730
11000,9,246333
