id,count,population
00,1,
13500,5,71803
13400,6,187435
11500,32,720600
13200,9,229807
13100,4,180039
13000,7,388436
13700,3,138362
13600,2,236059
11300,57,1170817
11200,177,2504700
13900,1,82318
13800,4,139711
11900,24,249449
11800,5,72690
10100,4,62248
10800,4,85822
11600,10,114978
14600,33,478127
14700,4,179736
14400,6,304910
14500,8,320247
14200,53,564824
14300,3,66192
14000,13,444874
14100,6,200100
14800,1,283720
Zip Code - 3 digits00,0,
12000,6,330854
12100,4,280446
12200,14,151022
10900,20,537311
12400,5,154261
12500,19,448672
12600,2,86794
12700,1,99295
12800,1,225336
12900,4,164172
10000,95,1502501
14900,1,49642
10600,4,81120
10700,9,227049
10400,129,1382480
10500,34,646012
13300,1,142936
11400,38,728928
11700,78,1565949
12300,2,162643
OOS00,38,
11100,5,204715
10300,41,468730
11000,13,246333
