id,count,population
00,0,
13500,1,71803
13400,1,187435
11500,7,720600
13200,7,229807
13100,4,180039
13000,6,388436
13700,3,138362
13600,6,236059
11300,15,1170817
11200,21,2504700
13900,2,82318
13800,5,139711
11900,8,249449
11800,5,72690
10100,0,62248
10800,4,85822
11600,0,114978
14600,6,478127
14700,1,179736
14400,4,304910
14500,7,320247
14200,5,564824
14300,0,66192
14000,4,444874
14100,3,200100
14800,0,283720
Zip Code - 3 digits00,0,
12000,6,330854
12100,5,280446
12200,2,151022
10900,11,537311
12400,2,154261
12500,5,448672
12600,2,86794
12700,1,99295
12800,6,225336
12900,2,164172
10000,19,1502501
14900,2,49642
10600,1,81120
10700,4,227049
10400,9,1382480
10500,7,646012
13300,4,142936
11400,6,728928
11700,18,1565949
12300,1,162643
OOS00,33,
11100,1,204715
10300,5,468730
11000,4,246333
