id,count,population
00,3,
13500,6,71803
13400,25,187435
11500,86,720600
13200,43,229807
13100,36,180039
13000,67,388436
13700,35,138362
13600,25,236059
11300,119,1170817
11200,200,2504700
13900,18,82318
13800,28,139711
11900,45,249449
11800,13,72690
10100,8,62248
10800,12,85822
11600,11,114978
14600,130,478127
14700,23,179736
14400,105,304910
14500,90,320247
14200,93,564824
14300,22,66192
14000,81,444874
14100,40,200100
14800,43,283720
Zip Code - 3 digits00,0,
12000,112,330854
12100,74,280446
12200,25,151022
10900,89,537311
12400,25,154261
12500,99,448672
12600,14,86794
12700,18,99295
12800,40,225336
12900,11,164172
10000,238,1502501
14900,23,49642
10600,8,81120
10700,36,227049
10400,179,1382480
10500,118,646012
13300,30,142936
11400,66,728928
11700,236,1565949
12300,25,162643
OOS00,356,
11100,16,204715
10300,78,468730
11000,29,246333
