id,count,population
00,3,
13500,31,71803
13400,84,187435
11500,327,720600
13200,106,229807
13100,61,180039
13000,138,388436
13700,45,138362
13600,80,236059
11300,420,1170817
11200,1017,2504700
13900,30,82318
13800,38,139711
11900,143,249449
11800,33,72690
10100,20,62248
10800,30,85822
11600,78,114978
14600,223,478127
14700,63,179736
14400,100,304910
14500,125,320247
14200,348,564824
14300,61,66192
14000,196,444874
14100,128,200100
14800,80,283720
Zip Code - 3 digits00,0,
12000,132,330854
12100,109,280446
12200,58,151022
10900,160,537311
12400,66,154261
12500,145,448672
12600,37,86794
12700,30,99295
12800,91,225336
12900,61,164172
10000,602,1502501
14900,32,49642
10600,30,81120
10700,98,227049
10400,828,1382480
10500,157,646012
13300,60,142936
11400,273,728928
11700,662,1565949
12300,54,162643
OOS00,142,
11100,56,204715
10300,348,468730
11000,96,246333
