id,count,population
00,4,
13500,31,71803
13400,63,187435
11500,420,720600
13200,76,229807
13100,41,180039
13000,131,388436
13700,40,138362
13600,62,236059
11300,408,1170817
11200,1006,2504700
13900,22,82318
13800,20,139711
11900,130,249449
11800,38,72690
10100,27,62248
10800,60,85822
11600,179,114978
14600,164,478127
14700,36,179736
14400,71,304910
14500,106,320247
14200,223,564824
14300,17,66192
14000,130,444874
14100,69,200100
14800,77,283720
Zip Code - 3 digits00,0,
12000,90,330854
12100,80,280446
12200,46,151022
10900,126,537311
12400,95,154261
12500,161,448672
12600,29,86794
12700,17,99295
12800,92,225336
12900,62,164172
10000,866,1502501
14900,15,49642
10600,34,81120
10700,172,227049
10400,628,1382480
10500,239,646012
13300,54,142936
11400,216,728928
11700,493,1565949
12300,44,162643
OOS00,103,
11100,59,204715
10300,267,468730
11000,114,246333
