id,count,population
00,4,
13500,23,71803
13400,39,187435
11500,135,720600
13200,44,229807
13100,19,180039
13000,60,388436
13700,21,138362
13600,29,236059
11300,209,1170817
11200,478,2504700
13900,13,82318
13800,18,139711
11900,48,249449
11800,13,72690
10100,11,62248
10800,11,85822
11600,33,114978
14600,84,478127
14700,46,179736
14400,39,304910
14500,52,320247
14200,132,564824
14300,11,66192
14000,74,444874
14100,40,200100
14800,38,283720
Zip Code - 3 digits00,0,
12000,43,330854
12100,29,280446
12200,26,151022
10900,97,537311
12400,24,154261
12500,65,448672
12600,12,86794
12700,10,99295
12800,34,225336
12900,24,164172
10000,326,1502501
14900,9,49642
10600,10,81120
10700,53,227049
10400,295,1382480
10500,115,646012
13300,29,142936
11400,165,728928
11700,292,1565949
12300,14,162643
OOS00,116,
11100,39,204715
10300,96,468730
11000,50,246333
