id,count,population
00,2,
13500,8,71803
13400,24,187435
11500,76,720600
13200,9,229807
13100,10,180039
13000,18,388436
13700,9,138362
13600,5,236059
11300,108,1170817
11200,203,2504700
13900,8,82318
13800,7,139711
11900,24,249449
11800,5,72690
10100,5,62248
10800,14,85822
11600,10,114978
14600,23,478127
14700,12,179736
14400,17,304910
14500,13,320247
14200,41,564824
14300,7,66192
14000,46,444874
14100,19,200100
14800,9,283720
Zip Code - 3 digits00,0,
12000,36,330854
12100,29,280446
12200,16,151022
10900,36,537311
12400,10,154261
12500,31,448672
12600,5,86794
12700,5,99295
12800,11,225336
12900,9,164172
10000,98,1502501
14900,1,49642
10600,7,81120
10700,22,227049
10400,120,1382480
10500,52,646012
13300,16,142936
11400,53,728928
11700,125,1565949
12300,12,162643
OOS00,168,
11100,11,204715
10300,39,468730
11000,23,246333
