id,count,population
00,0,
13500,2,71803
13400,5,187435
11500,10,720600
13200,7,229807
13100,3,180039
13000,8,388436
13700,3,138362
13600,2,236059
11300,16,1170817
11200,36,2504700
13900,4,82318
13800,1,139711
11900,5,249449
11800,0,72690
10100,1,62248
10800,0,85822
11600,6,114978
14600,7,478127
14700,5,179736
14400,2,304910
14500,4,320247
14200,7,564824
14300,1,66192
14000,9,444874
14100,3,200100
14800,1,283720
Zip Code - 3 digits00,0,
12000,7,330854
12100,3,280446
12200,2,151022
10900,8,537311
12400,1,154261
12500,6,448672
12600,2,86794
12700,1,99295
12800,4,225336
12900,5,164172
10000,23,1502501
14900,0,49642
10600,0,81120
10700,2,227049
10400,25,1382480
10500,9,646012
13300,2,142936
11400,12,728928
11700,23,1565949
12300,1,162643
OOS00,9,
11100,4,204715
10300,14,468730
11000,4,246333
