id,count,population
00,0,
13500,6,71803
13400,8,187435
11500,38,720600
13200,11,229807
13100,5,180039
13000,18,388436
13700,3,138362
13600,10,236059
11300,60,1170817
11200,162,2504700
13900,2,82318
13800,3,139711
11900,8,249449
11800,4,72690
10100,4,62248
10800,5,85822
11600,4,114978
14600,14,478127
14700,1,179736
14400,6,304910
14500,9,320247
14200,22,564824
14300,3,66192
14000,7,444874
14100,5,200100
14800,10,283720
Zip Code - 3 digits00,0,
12000,14,330854
12100,9,280446
12200,10,151022
10900,19,537311
12400,12,154261
12500,12,448672
12600,4,86794
12700,4,99295
12800,8,225336
12900,2,164172
10000,84,1502501
14900,1,49642
10600,3,81120
10700,8,227049
10400,106,1382480
10500,21,646012
13300,6,142936
11400,46,728928
11700,57,1565949
12300,5,162643
OOS00,31,
11100,14,204715
10300,26,468730
11000,9,246333
