id,count,population
00,6,
13500,32,71803
13400,75,187435
11500,315,720600
13200,89,229807
13100,58,180039
13000,137,388436
13700,41,138362
13600,78,236059
11300,574,1170817
11200,1108,2504700
13900,16,82318
13800,42,139711
11900,131,249449
11800,36,72690
10100,15,62248
10800,39,85822
11600,51,114978
14600,149,478127
14700,35,179736
14400,77,304910
14500,71,320247
14200,173,564824
14300,25,66192
14000,128,444874
14100,55,200100
14800,83,283720
Zip Code - 3 digits00,0,
12000,115,330854
12100,97,280446
12200,72,151022
10900,173,537311
12400,73,154261
12500,144,448672
12600,27,86794
12700,32,99295
12800,54,225336
12900,50,164172
10000,745,1502501
14900,17,49642
10600,34,81120
10700,101,227049
10400,887,1382480
10500,239,646012
13300,60,142936
11400,298,728928
11700,674,1565949
12300,48,162643
OOS00,223,
11100,79,204715
10300,243,468730
11000,116,246333
