id,count,population
00,5,
13500,79,71803
13400,247,187435
11500,518,720600
13200,292,229807
13100,228,180039
13000,431,388436
13700,60,138362
13600,410,236059
11300,608,1170817
11200,1577,2504700
13900,39,82318
13800,62,139711
11900,215,249449
11800,45,72690
10100,23,62248
10800,55,85822
11600,135,114978
14600,388,478127
14700,146,179736
14400,234,304910
14500,251,320247
14200,583,564824
14300,80,66192
14000,402,444874
14100,170,200100
14800,199,283720
Zip Code - 3 digits00,0,
12000,258,330854
12100,229,280446
12200,102,151022
10900,410,537311
12400,126,154261
12500,366,448672
12600,74,86794
12700,148,99295
12800,225,225336
12900,130,164172
10000,1162,1502501
14900,56,49642
10600,42,81120
10700,215,227049
10400,1851,1382480
10500,407,646012
13300,171,142936
11400,514,728928
11700,1142,1565949
12300,151,162643
OOS00,362,
11100,94,204715
10300,319,468730
11000,163,246333
