id,count,population
00,44,
13500,203,71803
13400,285,187435
11500,1187,720600
13200,553,229807
13100,242,180039
13000,513,388436
13700,162,138362
13600,505,236059
11300,1945,1170817
11200,6165,2504700
13900,78,82318
13800,144,139711
11900,321,249449
11800,89,72690
10100,100,62248
10800,82,85822
11600,278,114978
14600,929,478127
14700,215,179736
14400,304,304910
14500,324,320247
14200,1285,564824
14300,130,66192
14000,500,444874
14100,219,200100
14800,364,283720
Zip Code - 3 digits00,0,
12000,314,330854
12100,233,280446
12200,211,151022
10900,906,537311
12400,155,154261
12500,487,448672
12600,114,86794
12700,164,99295
12800,362,225336
12900,114,164172
10000,2426,1502501
14900,152,49642
10600,113,81120
10700,348,227049
10400,3939,1382480
10500,710,646012
13300,182,142936
11400,1310,728928
11700,2119,1565949
12300,201,162643
OOS00,551,
11100,335,204715
10300,604,468730
11000,345,246333
