id,count,population
00,0,
13500,0,71803
13400,0,187435
11500,6,720600
13200,0,229807
13100,1,180039
13000,2,388436
13700,0,138362
13600,0,236059
11300,12,1170817
11200,8,2504700
13900,0,82318
13800,1,139711
11900,5,249449
11800,1,72690
10100,0,62248
10800,0,85822
11600,0,114978
14600,1,478127
14700,0,179736
14400,5,304910
14500,3,320247
14200,5,564824
14300,1,66192
14000,2,444874
14100,4,200100
14800,1,283720
Zip Code - 3 digits00,0,
12000,3,330854
12100,2,280446
12200,1,151022
10900,7,537311
12400,2,154261
12500,5,448672
12600,0,86794
12700,0,99295
12800,5,225336
12900,0,164172
10000,7,1502501
14900,0,49642
10600,0,81120
10700,2,227049
10400,7,1382480
10500,3,646012
13300,1,142936
11400,10,728928
11700,18,1565949
12300,1,162643
OOS00,35,
11100,6,204715
10300,10,468730
11000,3,246333
