id,count,population
00,1,
13500,15,71803
13400,64,187435
11500,177,720600
13200,59,229807
13100,41,180039
13000,87,388436
13700,32,138362
13600,39,236059
11300,180,1170817
11200,414,2504700
13900,22,82318
13800,35,139711
11900,78,249449
11800,22,72690
10100,12,62248
10800,17,85822
11600,19,114978
14600,124,478127
14700,38,179736
14400,53,304910
14500,56,320247
14200,157,564824
14300,17,66192
14000,106,444874
14100,43,200100
14800,23,283720
Zip Code - 3 digits00,0,
12000,81,330854
12100,71,280446
12200,43,151022
10900,119,537311
12400,32,154261
12500,75,448672
12600,17,86794
12700,21,99295
12800,49,225336
12900,50,164172
10000,322,1502501
14900,23,49642
10600,19,81120
10700,56,227049
10400,309,1382480
10500,112,646012
13300,30,142936
11400,130,728928
11700,435,1565949
12300,40,162643
OOS00,115,
11100,28,204715
10300,79,468730
11000,76,246333
