id,count,population
00,2,
13500,7,71803
13400,29,187435
11500,140,720600
13200,30,229807
13100,10,180039
13000,42,388436
13700,14,138362
13600,22,236059
11300,186,1170817
11200,456,2504700
13900,13,82318
13800,12,139711
11900,39,249449
11800,11,72690
10100,9,62248
10800,16,85822
11600,29,114978
14600,80,478127
14700,13,179736
14400,24,304910
14500,35,320247
14200,102,564824
14300,16,66192
14000,49,444874
14100,30,200100
14800,18,283720
Zip Code - 3 digits00,0,
12000,42,330854
12100,39,280446
12200,26,151022
10900,67,537311
12400,21,154261
12500,46,448672
12600,8,86794
12700,17,99295
12800,31,225336
12900,25,164172
10000,258,1502501
14900,9,49642
10600,9,81120
10700,50,227049
10400,297,1382480
10500,82,646012
13300,15,142936
11400,110,728928
11700,294,1565949
12300,16,162643
OOS00,143,
11100,35,204715
10300,101,468730
11000,48,246333
