id,count,population
00,6,
13500,26,71803
13400,41,187435
11500,190,720600
13200,58,229807
13100,43,180039
13000,67,388436
13700,27,138362
13600,39,236059
11300,354,1170817
11200,931,2504700
13900,13,82318
13800,29,139711
11900,65,249449
11800,8,72690
10100,11,62248
10800,17,85822
11600,37,114978
14600,110,478127
14700,25,179736
14400,33,304910
14500,40,320247
14200,123,564824
14300,10,66192
14000,63,444874
14100,27,200100
14800,53,283720
Zip Code - 3 digits00,0,
12000,63,330854
12100,47,280446
12200,70,151022
10900,117,537311
12400,29,154261
12500,78,448672
12600,20,86794
12700,9,99295
12800,51,225336
12900,15,164172
10000,524,1502501
14900,8,49642
10600,27,81120
10700,67,227049
10400,813,1382480
10500,114,646012
13300,24,142936
11400,240,728928
11700,358,1565949
12300,39,162643
OOS00,133,
11100,43,204715
10300,147,468730
11000,69,246333
