id,count,population
00,1,
13500,7,71803
13400,20,187435
11500,83,720600
13200,17,229807
13100,11,180039
13000,21,388436
13700,9,138362
13600,12,236059
11300,105,1170817
11200,418,2504700
13900,4,82318
13800,5,139711
11900,24,249449
11800,8,72690
10100,3,62248
10800,16,85822
11600,30,114978
14600,33,478127
14700,13,179736
14400,16,304910
14500,18,320247
14200,49,564824
14300,4,66192
14000,23,444874
14100,8,200100
14800,10,283720
Zip Code - 3 digits00,0,
12000,16,330854
12100,24,280446
12200,17,151022
10900,29,537311
12400,14,154261
12500,14,448672
12600,8,86794
12700,2,99295
12800,23,225336
12900,10,164172
10000,249,1502501
14900,4,49642
10600,7,81120
10700,22,227049
10400,371,1382480
10500,50,646012
13300,14,142936
11400,88,728928
11700,124,1565949
12300,15,162643
OOS00,71,
11100,26,204715
10300,76,468730
11000,25,246333
