id,count,population
00,0,
13500,3,71803
13400,7,187435
11500,26,720600
13200,4,229807
13100,4,180039
13000,10,388436
13700,7,138362
13600,7,236059
11300,57,1170817
11200,140,2504700
13900,5,82318
13800,4,139711
11900,5,249449
11800,3,72690
10100,0,62248
10800,2,85822
11600,7,114978
14600,10,478127
14700,7,179736
14400,8,304910
14500,2,320247
14200,17,564824
14300,3,66192
14000,11,444874
14100,3,200100
14800,6,283720
Zip Code - 3 digits00,0,
12000,10,330854
12100,20,280446
12200,11,151022
10900,13,537311
12400,7,154261
12500,15,448672
12600,3,86794
12700,3,99295
12800,7,225336
12900,4,164172
10000,58,1502501
14900,1,49642
10600,3,81120
10700,9,227049
10400,80,1382480
10500,16,646012
13300,3,142936
11400,19,728928
11700,63,1565949
12300,7,162643
OOS00,17,
11100,3,204715
10300,24,468730
11000,6,246333
