id,count,population
00,0,
13500,8,71803
13400,14,187435
11500,76,720600
13200,24,229807
13100,11,180039
13000,32,388436
13700,8,138362
13600,10,236059
11300,96,1170817
11200,211,2504700
13900,12,82318
13800,14,139711
11900,26,249449
11800,5,72690
10100,6,62248
10800,12,85822
11600,8,114978
14600,39,478127
14700,24,179736
14400,35,304910
14500,20,320247
14200,55,564824
14300,10,66192
14000,26,444874
14100,17,200100
14800,21,283720
Zip Code - 3 digits00,0,
12000,23,330854
12100,14,280446
12200,15,151022
10900,31,537311
12400,31,154261
12500,29,448672
12600,7,86794
12700,6,99295
12800,15,225336
12900,4,164172
10000,155,1502501
14900,3,49642
10600,8,81120
10700,19,227049
10400,93,1382480
10500,62,646012
13300,17,142936
11400,72,728928
11700,137,1565949
12300,17,162643
OOS00,112,
11100,18,204715
10300,45,468730
11000,27,246333
