id,count,population
00,1,
13500,8,71803
13400,17,187435
11500,106,720600
13200,17,229807
13100,19,180039
13000,28,388436
13700,13,138362
13600,21,236059
11300,132,1170817
11200,305,2504700
13900,3,82318
13800,8,139711
11900,33,249449
11800,11,72690
10100,4,62248
10800,4,85822
11600,13,114978
14600,50,478127
14700,20,179736
14400,31,304910
14500,38,320247
14200,75,564824
14300,7,66192
14000,58,444874
14100,28,200100
14800,22,283720
Zip Code - 3 digits00,0,
12000,45,330854
12100,31,280446
12200,19,151022
10900,45,537311
12400,10,154261
12500,37,448672
12600,14,86794
12700,11,99295
12800,16,225336
12900,9,164172
10000,138,1502501
14900,5,49642
10600,10,81120
10700,38,227049
10400,201,1382480
10500,34,646012
13300,11,142936
11400,90,728928
11700,217,1565949
12300,18,162643
OOS00,51,
11100,23,204715
10300,67,468730
11000,27,246333
