id,count,population
00,0,
13500,19,71803
13400,25,187435
11500,125,720600
13200,31,229807
13100,14,180039
13000,44,388436
13700,16,138362
13600,14,236059
11300,164,1170817
11200,394,2504700
13900,4,82318
13800,7,139711
11900,44,249449
11800,14,72690
10100,7,62248
10800,10,85822
11600,19,114978
14600,55,478127
14700,18,179736
14400,48,304910
14500,28,320247
14200,67,564824
14300,8,66192
14000,30,444874
14100,32,200100
14800,30,283720
Zip Code - 3 digits00,0,
12000,32,330854
12100,25,280446
12200,19,151022
10900,65,537311
12400,25,154261
12500,54,448672
12600,15,86794
12700,13,99295
12800,25,225336
12900,14,164172
10000,237,1502501
14900,8,49642
10600,20,81120
10700,47,227049
10400,243,1382480
10500,99,646012
13300,15,142936
11400,93,728928
11700,236,1565949
12300,26,162643
OOS00,198,
11100,25,204715
10300,72,468730
11000,57,246333
