id,count,population
00,13,
13500,71,71803
13400,173,187435
11500,553,720600
13200,283,229807
13100,178,180039
13000,332,388436
13700,110,138362
13600,256,236059
11300,745,1170817
11200,1878,2504700
13900,89,82318
13800,114,139711
11900,248,249449
11800,54,72690
10100,37,62248
10800,46,85822
11600,98,114978
14600,452,478127
14700,127,179736
14400,254,304910
14500,280,320247
14200,433,564824
14300,95,66192
14000,335,444874
14100,196,200100
14800,200,283720
Zip Code - 3 digits00,0,
12000,288,330854
12100,239,280446
12200,170,151022
10900,379,537311
12400,164,154261
12500,349,448672
12600,71,86794
12700,130,99295
12800,192,225336
12900,158,164172
10000,1155,1502501
14900,61,49642
10600,59,81120
10700,161,227049
10400,1358,1382480
10500,377,646012
13300,130,142936
11400,604,728928
11700,1296,1565949
12300,160,162643
OOS00,393,
11100,109,204715
10300,401,468730
11000,174,246333
