id,count,population
00,0,
13500,0,71803
13400,6,187435
11500,15,720600
13200,9,229807
13100,2,180039
13000,5,388436
13700,5,138362
13600,4,236059
11300,15,1170817
11200,58,2504700
13900,2,82318
13800,0,139711
11900,7,249449
11800,0,72690
10100,1,62248
10800,4,85822
11600,4,114978
14600,14,478127
14700,3,179736
14400,10,304910
14500,8,320247
14200,25,564824
14300,0,66192
14000,6,444874
14100,2,200100
14800,3,283720
Zip Code - 3 digits00,0,
12000,4,330854
12100,4,280446
12200,1,151022
10900,17,537311
12400,4,154261
12500,9,448672
12600,2,86794
12700,3,99295
12800,2,225336
12900,2,164172
10000,45,1502501
14900,0,49642
10600,2,81120
10700,5,227049
10400,37,1382480
10500,9,646012
13300,4,142936
11400,10,728928
11700,33,1565949
12300,5,162643
OOS00,11,
11100,1,204715
10300,10,468730
11000,6,246333
