id,count,population
00,0,
13500,4,71803
13400,6,187435
11500,58,720600
13200,5,229807
13100,3,180039
13000,26,388436
13700,6,138362
13600,9,236059
11300,106,1170817
11200,132,2504700
13900,6,82318
13800,9,139711
11900,23,249449
11800,6,72690
10100,5,62248
10800,7,85822
11600,8,114978
14600,14,478127
14700,11,179736
14400,14,304910
14500,19,320247
14200,39,564824
14300,7,66192
14000,24,444874
14100,12,200100
14800,12,283720
Zip Code - 3 digits00,0,
12000,12,330854
12100,14,280446
12200,4,151022
10900,39,537311
12400,17,154261
12500,28,448672
12600,8,86794
12700,5,99295
12800,8,225336
12900,1,164172
10000,128,1502501
14900,3,49642
10600,7,81120
10700,29,227049
10400,89,1382480
10500,48,646012
13300,7,142936
11400,32,728928
11700,111,1565949
12300,11,162643
OOS00,70,
11100,15,204715
10300,44,468730
11000,14,246333
