id,count,population
00,2,
13500,17,71803
13400,52,187435
11500,190,720600
13200,39,229807
13100,27,180039
13000,85,388436
13700,30,138362
13600,42,236059
11300,177,1170817
11200,431,2504700
13900,21,82318
13800,22,139711
11900,58,249449
11800,53,72690
10100,13,62248
10800,18,85822
11600,21,114978
14600,84,478127
14700,27,179736
14400,63,304910
14500,61,320247
14200,128,564824
14300,24,66192
14000,93,444874
14100,53,200100
14800,76,283720
Zip Code - 3 digits00,0,
12000,49,330854
12100,51,280446
12200,28,151022
10900,93,537311
12400,32,154261
12500,89,448672
12600,22,86794
12700,20,99295
12800,54,225336
12900,25,164172
10000,248,1502501
14900,17,49642
10600,21,81120
10700,47,227049
10400,195,1382480
10500,134,646012
13300,27,142936
11400,84,728928
11700,415,1565949
12300,22,162643
OOS00,150,
11100,27,204715
10300,112,468730
11000,62,246333
