id,count,population
00,3,
13500,5,71803
13400,15,187435
11500,31,720600
13200,15,229807
13100,12,180039
13000,32,388436
13700,30,138362
13600,28,236059
11300,93,1170817
11200,261,2504700
13900,19,82318
13800,22,139711
11900,53,249449
11800,2,72690
10100,4,62248
10800,9,85822
11600,6,114978
14600,48,478127
14700,24,179736
14400,20,304910
14500,27,320247
14200,59,564824
14300,8,66192
14000,46,444874
14100,29,200100
14800,25,283720
Zip Code - 3 digits00,0,
12000,54,330854
12100,39,280446
12200,15,151022
10900,63,537311
12400,19,154261
12500,30,448672
12600,7,86794
12700,10,99295
12800,17,225336
12900,27,164172
10000,78,1502501
14900,5,49642
10600,12,81120
10700,12,227049
10400,113,1382480
10500,52,646012
13300,16,142936
11400,50,728928
11700,106,1565949
12300,28,162643
OOS00,33,
11100,18,204715
10300,54,468730
11000,12,246333
