id,count,population
00,6,
13500,11,71803
13400,38,187435
11500,92,720600
13200,22,229807
13100,9,180039
13000,53,388436
13700,17,138362
13600,80,236059
11300,208,1170817
11200,378,2504700
13900,10,82318
13800,11,139711
11900,22,249449
11800,6,72690
10100,14,62248
10800,6,85822
11600,11,114978
14600,111,478127
14700,9,179736
14400,42,304910
14500,43,320247
14200,49,564824
14300,6,66192
14000,51,444874
14100,17,200100
14800,50,283720
Zip Code - 3 digits00,0,
12000,42,330854
12100,16,280446
12200,19,151022
10900,47,537311
12400,8,154261
12500,39,448672
12600,9,86794
12700,14,99295
12800,19,225336
12900,10,164172
10000,196,1502501
14900,5,49642
10600,14,81120
10700,21,227049
10400,159,1382480
10500,80,646012
13300,15,142936
11400,104,728928
11700,98,1565949
12300,11,162643
OOS00,28,
11100,39,204715
10300,15,468730
11000,25,246333
