id,count,population
00,3,
13500,45,71803
13400,138,187435
11500,341,720600
13200,149,229807
13100,121,180039
13000,247,388436
13700,104,138362
13600,102,236059
11300,426,1170817
11200,1198,2504700
13900,45,82318
13800,68,139711
11900,150,249449
11800,26,72690
10100,23,62248
10800,34,85822
11600,64,114978
14600,238,478127
14700,100,179736
14400,143,304910
14500,138,320247
14200,401,564824
14300,46,66192
14000,280,444874
14100,126,200100
14800,94,283720
Zip Code - 3 digits00,0,
12000,228,330854
12100,184,280446
12200,91,151022
10900,214,537311
12400,111,154261
12500,181,448672
12600,36,86794
12700,48,99295
12800,192,225336
12900,124,164172
10000,981,1502501
14900,21,49642
10600,43,81120
10700,121,227049
10400,812,1382480
10500,260,646012
13300,80,142936
11400,297,728928
11700,831,1565949
12300,82,162643
OOS00,239,
11100,116,204715
10300,218,468730
11000,112,246333
